Applicant_ID,Applicant_Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Status,Annual_Income_Lakhs,Credit_Score,Loan_Amount_Lakhs,Loan_Term_Years,Interest_Rate_Percent,Down_Payment_Percent,Loan_Type,Property_Location,Property_Value_Lakhs,Property_Type,Existing_Loans_Amount,EMI_Affordability_Percent,Prior_Relationship_Years,Loan_Approval_Status,Application_Date
819,27,Other,Widowed,1,Graduate,Self-Employed,41.33,368,30.63,20,7.48,19.64,Home Purchase,Semi-Urban,207.5,Apartment,23.17,32.25,9,Approved,30-04-2020
820,62,Female,Married,0,Doctorate,Salaried,38.88,743,130.19,15,6.57,16.23,Refinance,Urban,179.01,Independent House,3.68,13.54,14,Rejected,09-11-2020
821,43,Male,Married,0,High School,Salaried,28.34,577,127.85,30,10.2,15.15,Refinance,Rural,238.03,Independent House,44.57,25.23,6,Rejected,25-04-2021
822,44,Other,Single,0,Graduate,Salaried,10.63,429,93.06,15,10.12,13.26,Home Purchase,Rural,133.43,Independent House,28.15,13.42,14,Rejected,03-04-2025
823,62,Female,Single,4,Doctorate,Salaried,2.95,811,61.74,15,7.93,8.16,Refinance,Rural,171.82,Apartment,48.73,36,1,Approved,24-04-2024
824,24,Female,Divorced,3,Graduate,Unemployed,29.01,686,98.01,20,7,25.74,Home Purchase,Semi-Urban,283.32,Independent House,16.17,20.82,10,Rejected,01-02-2023
825,53,Other,Divorced,2,High School,Unemployed,19.1,322,147.01,15,8.56,10.41,Home Purchase,Semi-Urban,37.78,Apartment,14.28,16.18,1,Rejected,11-05-2020
826,42,Female,Widowed,3,Postgraduate,Self-Employed,37.13,689,82.92,20,8.8,18.02,Construction,Rural,108.02,Independent House,23.27,46.69,18,Rejected,17-12-2020
827,29,Other,Widowed,1,Postgraduate,Salaried,44.27,798,101.83,20,9.65,21.84,Home Purchase,Semi-Urban,214.36,Independent House,24.82,26.27,10,Approved,29-05-2024
828,25,Other,Widowed,3,Postgraduate,Unemployed,39.33,500,140.18,30,8.84,25.73,Construction,Urban,298.8,Plot,48.95,21.43,9,Approved,16-06-2025
829,55,Other,Widowed,4,Doctorate,Salaried,2.87,389,75.95,20,9.69,7.24,Home Purchase,Semi-Urban,93.08,Apartment,28.25,26.07,16,Approved,05-10-2018
830,43,Other,Married,3,Graduate,Unemployed,43.5,696,8.45,15,10.81,11.93,Construction,Semi-Urban,171.61,Independent House,4.02,12.04,10,Approved,02-03-2018
831,55,Female,Divorced,0,Postgraduate,Unemployed,35.11,412,5.25,20,9.09,19.85,Home Purchase,Semi-Urban,124.46,Apartment,48.79,47.26,9,Rejected,20-01-2023
832,59,Other,Widowed,3,Doctorate,Self-Employed,22.8,499,19.15,15,9.54,9.38,Refinance,Urban,144.86,Plot,42.78,26.6,11,Rejected,24-07-2020
833,32,Female,Widowed,1,Graduate,Salaried,6.59,787,125.11,20,8.93,22.97,Construction,Rural,74.89,Plot,3.04,45.42,12,Approved,18-04-2020
834,21,Male,Widowed,2,Postgraduate,Unemployed,40.3,596,38.57,25,9.36,22.23,Home Purchase,Semi-Urban,229.22,Plot,3.49,43.69,6,Rejected,06-06-2023
835,55,Other,Married,1,High School,Self-Employed,5.5,364,5.65,10,9.98,6.07,Construction,Semi-Urban,63,Independent House,9.07,26.41,12,Rejected,01-04-2020
836,30,Other,Single,3,High School,Salaried,29.06,317,68.51,20,9.61,28.36,Refinance,Semi-Urban,51.55,Apartment,40.48,48.14,3,Rejected,30-05-2021
837,37,Male,Widowed,1,Postgraduate,Self-Employed,8.35,682,39.87,20,10.83,19.46,Home Purchase,Semi-Urban,162.91,Plot,16.23,13.23,15,Rejected,30-05-2023
838,53,Female,Widowed,1,Graduate,Unemployed,42.57,634,116.83,20,6.75,25.02,Construction,Urban,187.13,Apartment,1.1,6.81,8,Rejected,06-07-2022
839,56,Female,Married,0,Postgraduate,Unemployed,38.94,802,142.89,30,9.68,24.01,Construction,Semi-Urban,279.54,Apartment,42.19,35.29,19,Approved,09-03-2023
840,39,Other,Widowed,4,Postgraduate,Self-Employed,41.82,690,123.1,10,7.8,23.39,Construction,Rural,32.84,Apartment,5.33,10.26,7,Approved,30-11-2023
841,59,Male,Widowed,0,High School,Self-Employed,5.03,630,9.21,15,7.05,6.97,Refinance,Rural,179.74,Apartment,30.53,15.11,15,Approved,09-02-2021
842,61,Male,Married,4,Graduate,Unemployed,11.47,756,24.35,30,8.72,20.83,Construction,Urban,32.39,Apartment,2.01,29.6,12,Approved,01-08-2019
843,59,Other,Divorced,0,Graduate,Unemployed,36.54,842,56.66,20,8.03,13.06,Home Purchase,Rural,255.83,Independent House,17.43,23.01,15,Rejected,27-11-2019
844,59,Other,Married,0,High School,Salaried,24.71,778,82.14,25,7.38,7.86,Refinance,Semi-Urban,237.91,Independent House,18.2,7.77,17,Rejected,15-10-2022
845,25,Other,Single,4,Postgraduate,Self-Employed,12.31,718,12.19,25,10.38,14.76,Refinance,Urban,277,Plot,6.97,23.84,16,Approved,06-10-2020
846,43,Other,Single,2,High School,Salaried,36.43,580,35.41,30,10.42,23.66,Refinance,Rural,196.52,Apartment,19.54,39.47,3,Approved,18-10-2019
847,27,Female,Widowed,4,Postgraduate,Salaried,27.16,307,136.47,20,10.96,13.06,Home Purchase,Rural,78.68,Independent House,11.56,22.74,17,Approved,08-09-2021
848,60,Male,Widowed,3,High School,Self-Employed,36.92,551,132.16,10,8.73,13.69,Home Purchase,Rural,127.42,Independent House,35.08,37.34,6,Approved,11-09-2024
849,53,Other,Single,0,Graduate,Salaried,13.49,848,53.55,30,7.98,19.95,Refinance,Semi-Urban,106.92,Independent House,16.77,28.64,3,Approved,10-10-2019
850,44,Other,Widowed,0,Graduate,Salaried,33.49,759,42.27,15,8.49,18.79,Construction,Semi-Urban,138.46,Apartment,42.43,39.14,8,Approved,29-07-2018
851,32,Other,Divorced,0,Doctorate,Salaried,21.75,763,141.5,25,9.65,13.54,Refinance,Rural,296.1,Apartment,7.03,14.89,12,Approved,19-05-2018
852,59,Female,Single,3,High School,Unemployed,49.16,433,18.01,25,9.17,28.28,Construction,Rural,160.88,Independent House,5.84,23.69,7,Approved,01-05-2020
853,36,Male,Divorced,0,Postgraduate,Unemployed,42.94,578,96.5,15,10.29,21.93,Home Purchase,Rural,98.04,Apartment,38.88,27.17,2,Approved,29-11-2018
854,32,Other,Single,1,High School,Self-Employed,41.99,614,100.11,10,7.91,9.8,Construction,Rural,185.13,Apartment,30.13,13.3,6,Rejected,11-09-2019
855,48,Female,Single,4,Graduate,Unemployed,38.38,411,132.92,30,10.47,20.37,Refinance,Rural,110.68,Plot,5.77,20.59,11,Approved,30-11-2018
856,36,Other,Widowed,3,Postgraduate,Self-Employed,16.51,343,44.44,15,8.92,8.65,Refinance,Rural,135.35,Independent House,43.78,14.41,0,Approved,21-03-2023
857,36,Male,Married,1,Doctorate,Salaried,43.88,374,20.98,20,6.72,21.89,Refinance,Rural,253.94,Plot,19.61,42.99,14,Approved,02-06-2022
858,56,Other,Divorced,1,Graduate,Self-Employed,29.5,810,83.43,30,9.51,14.71,Home Purchase,Rural,102.6,Plot,48.32,33.62,12,Approved,28-02-2024
859,54,Female,Single,0,Doctorate,Unemployed,11.12,490,147.45,15,8.17,20.24,Home Purchase,Semi-Urban,71.27,Plot,46.54,46.96,1,Approved,12-10-2018
860,29,Female,Single,4,Doctorate,Unemployed,11.03,476,53.93,30,10.66,11.19,Construction,Rural,153.47,Plot,47.6,42.89,7,Approved,27-03-2021
861,37,Other,Divorced,3,Graduate,Self-Employed,41.7,773,109.94,30,9.07,27.1,Refinance,Rural,139.4,Apartment,48.89,27.84,13,Rejected,26-05-2020
862,22,Female,Widowed,4,Graduate,Salaried,24.66,498,103.55,10,9.82,11.63,Construction,Urban,159.52,Apartment,44.79,48.03,0,Approved,13-12-2019
863,55,Female,Single,3,Graduate,Salaried,27.83,564,57.68,25,9.53,10.27,Home Purchase,Rural,293.06,Plot,45.48,15.15,4,Rejected,06-04-2020
864,48,Female,Widowed,4,High School,Self-Employed,31.68,728,54.76,25,6.94,8.18,Construction,Semi-Urban,298.94,Apartment,22.16,25.1,15,Rejected,13-01-2024
865,24,Male,Widowed,3,Doctorate,Salaried,15.37,463,35.66,15,8.78,22.31,Home Purchase,Urban,281.5,Independent House,25.95,41.47,3,Rejected,30-11-2024
866,50,Other,Divorced,1,Postgraduate,Unemployed,29.09,814,37.5,10,9.41,11.16,Home Purchase,Semi-Urban,214.49,Apartment,18.23,49.49,14,Approved,18-02-2021
867,41,Male,Widowed,2,Graduate,Salaried,26.19,530,90.25,10,7.78,19.39,Home Purchase,Urban,108.22,Plot,2.14,35.41,6,Approved,24-02-2018
868,43,Male,Single,1,High School,Unemployed,44.42,584,8.29,15,9.59,5.85,Home Purchase,Urban,106.02,Apartment,47.07,27.23,6,Approved,12-04-2025
869,52,Male,Married,4,Doctorate,Salaried,45,699,53.02,15,7.22,5.19,Refinance,Urban,123.95,Apartment,10.25,37.2,1,Approved,09-12-2019
870,58,Female,Single,3,Graduate,Self-Employed,28.11,626,138.84,15,10.02,11.15,Home Purchase,Urban,167.47,Independent House,45.36,46.45,7,Approved,04-10-2018
871,30,Female,Married,3,Doctorate,Unemployed,8.1,441,60.97,30,9.43,27.82,Home Purchase,Urban,129.05,Plot,11.12,47.85,15,Approved,09-11-2020
872,53,Male,Single,4,Graduate,Unemployed,16.43,463,10.57,25,10.03,13.31,Home Purchase,Semi-Urban,223.22,Apartment,6.63,41.52,11,Approved,04-11-2021
873,32,Other,Divorced,3,Doctorate,Salaried,9.6,561,67.59,30,9.52,26.06,Home Purchase,Rural,163.11,Apartment,36.45,20.59,1,Approved,07-11-2022
874,57,Male,Married,0,Postgraduate,Self-Employed,14.44,320,82.34,20,8.96,26.04,Home Purchase,Rural,237.64,Plot,28.02,31.25,2,Approved,21-03-2020
875,53,Female,Single,4,Postgraduate,Self-Employed,10.53,503,120.48,15,7.63,17.49,Home Purchase,Urban,278.61,Independent House,9.28,14.87,2,Approved,02-08-2018
876,21,Male,Single,0,Postgraduate,Unemployed,49.55,679,14.04,10,9.7,25.76,Home Purchase,Rural,274.36,Independent House,13.62,42.44,0,Rejected,25-06-2023
877,26,Male,Divorced,1,Graduate,Self-Employed,19.58,564,63.88,20,6.69,27.97,Construction,Urban,247.97,Apartment,23.59,44.1,10,Rejected,07-11-2018
878,31,Other,Single,1,High School,Unemployed,36.41,768,14.55,15,8.5,13.88,Construction,Semi-Urban,264.99,Plot,26.98,7.35,2,Approved,17-10-2023
879,63,Other,Divorced,1,High School,Self-Employed,2.81,414,57.73,30,7.58,7.5,Refinance,Urban,217.88,Apartment,7.04,47.53,3,Approved,25-08-2021
880,52,Female,Divorced,1,Graduate,Unemployed,4.07,387,135.73,10,8.27,21.75,Refinance,Semi-Urban,96.13,Independent House,27.73,10.66,2,Approved,20-02-2022
881,38,Other,Divorced,1,Graduate,Salaried,30.46,646,49.01,30,9.51,5.67,Construction,Rural,45.57,Apartment,8.16,41.54,2,Approved,25-06-2024
882,48,Other,Widowed,0,Graduate,Unemployed,38.74,584,124.94,30,10.39,7.74,Home Purchase,Semi-Urban,77.61,Independent House,1.78,28.11,13,Approved,01-07-2019
883,59,Other,Single,0,Doctorate,Self-Employed,45.73,691,57.53,30,9.48,15.09,Construction,Semi-Urban,282.11,Independent House,35.53,49.17,16,Rejected,20-08-2021
884,47,Male,Single,3,Graduate,Unemployed,47.04,848,107.19,15,10.79,10.27,Home Purchase,Rural,146.16,Apartment,30.02,16.59,12,Approved,16-05-2018
885,50,Male,Widowed,1,High School,Self-Employed,24.82,702,11.87,25,10.41,14.67,Construction,Urban,299.53,Plot,15.26,47.82,15,Approved,19-06-2020
886,43,Male,Single,3,Postgraduate,Unemployed,26.67,365,17.72,30,9.96,22.97,Construction,Rural,84.89,Independent House,16.13,42.05,2,Rejected,15-02-2021
887,28,Female,Widowed,1,Postgraduate,Unemployed,11.21,742,27.81,10,10.08,24.09,Construction,Urban,53.9,Apartment,46.71,18.13,16,Approved,25-02-2025
888,34,Female,Divorced,3,Graduate,Self-Employed,42.07,361,63.85,10,10.82,5.15,Refinance,Semi-Urban,33.73,Plot,21.15,28.63,19,Approved,20-05-2021
889,28,Female,Divorced,1,High School,Salaried,40.06,315,7.52,30,8.37,24.62,Home Purchase,Rural,222.4,Plot,9.46,41.36,15,Rejected,24-07-2023
890,36,Other,Married,4,Postgraduate,Salaried,38.38,480,145.19,15,10.02,9.52,Home Purchase,Semi-Urban,203.27,Plot,24.95,34.41,4,Approved,12-10-2023
891,45,Male,Married,2,Doctorate,Self-Employed,5.84,725,62.41,20,9.89,14.38,Refinance,Urban,139.91,Plot,17.84,12.99,1,Rejected,21-12-2021
892,31,Male,Married,4,Graduate,Salaried,21.28,747,108.87,10,8.05,21.21,Refinance,Urban,216.67,Plot,12.08,36.13,19,Approved,24-04-2025
893,47,Male,Widowed,3,High School,Salaried,20.33,703,16.03,30,8.07,15.86,Refinance,Semi-Urban,120.71,Apartment,34.94,12.3,10,Approved,20-12-2023
894,24,Other,Single,0,Graduate,Unemployed,30.13,818,102.01,15,6.73,27.31,Refinance,Urban,179.42,Plot,27.32,20.38,17,Approved,24-06-2023
895,53,Other,Single,1,Graduate,Salaried,3.59,772,67.62,30,6.84,22.65,Refinance,Rural,103.62,Plot,7.09,49.49,14,Approved,02-10-2022
896,62,Other,Divorced,1,Postgraduate,Salaried,5.78,801,98.41,25,9.52,29.48,Refinance,Urban,87.8,Plot,19.92,19.36,3,Approved,01-07-2021
897,21,Other,Married,0,Graduate,Unemployed,23.66,537,118.44,30,8.63,24.77,Refinance,Rural,256.02,Apartment,19.88,24.05,17,Rejected,08-04-2023
898,31,Male,Single,3,Doctorate,Salaried,36.23,308,141.56,20,10.23,22.92,Refinance,Urban,200.61,Apartment,41.3,18.11,9,Approved,21-06-2021
899,33,Other,Married,1,Doctorate,Salaried,27.42,705,36.39,20,7.19,26.12,Refinance,Rural,281.72,Apartment,21.84,43.49,10,Approved,06-09-2023
900,59,Other,Single,1,High School,Unemployed,16.75,307,20,20,7.18,15.01,Home Purchase,Semi-Urban,126.04,Independent House,39.56,33.19,12,Approved,16-04-2023
901,54,Other,Widowed,3,Doctorate,Self-Employed,15.7,604,146.97,30,9.76,16.13,Home Purchase,Rural,39.45,Apartment,23.52,36.31,13,Approved,14-07-2019
902,61,Female,Married,2,High School,Unemployed,23.03,493,34.21,15,8.72,19.32,Home Purchase,Semi-Urban,271.47,Independent House,43.32,5.98,9,Rejected,27-02-2020
903,48,Male,Widowed,3,Postgraduate,Salaried,41.75,443,145.79,15,9.25,27.75,Home Purchase,Urban,239.53,Independent House,32.64,28.7,16,Approved,13-06-2024
904,26,Other,Single,0,Doctorate,Self-Employed,6.29,548,18.7,15,6.53,9.53,Refinance,Rural,278.2,Plot,24.93,13.58,19,Approved,11-07-2021
905,51,Male,Divorced,4,High School,Salaried,43.1,794,104.82,20,9.15,27.15,Home Purchase,Urban,204.88,Apartment,27.92,40.41,14,Rejected,01-12-2023
906,58,Female,Single,3,High School,Self-Employed,49.59,755,57.77,15,10.57,24.75,Home Purchase,Semi-Urban,221.65,Plot,49.22,43.44,6,Approved,22-04-2022
907,31,Female,Widowed,3,High School,Unemployed,27.67,577,46.66,30,9.19,17.22,Construction,Rural,130.27,Apartment,32.18,15.97,1,Approved,05-07-2018
908,26,Other,Single,0,Postgraduate,Unemployed,5.01,364,117.25,20,10.63,27.42,Construction,Rural,275.09,Apartment,15.26,27.26,6,Approved,20-07-2019
909,48,Female,Married,3,Postgraduate,Salaried,47.81,761,70.71,30,8.5,21.49,Home Purchase,Rural,208.25,Independent House,24.98,16.35,8,Approved,11-01-2020
910,62,Male,Single,3,High School,Salaried,23.88,399,21.13,25,9.46,20.26,Home Purchase,Rural,208.3,Independent House,21.27,10.72,0,Approved,18-03-2022
911,50,Other,Married,2,Graduate,Salaried,4.12,755,118.67,30,9.56,18.82,Home Purchase,Rural,228.64,Independent House,28.52,49.88,17,Approved,23-02-2019
912,47,Male,Divorced,1,Graduate,Unemployed,27.51,800,127.09,25,9.73,13.42,Construction,Semi-Urban,59.29,Apartment,5.64,26.91,13,Rejected,05-06-2021
913,64,Female,Divorced,1,High School,Unemployed,45.17,795,101.16,25,7.8,11.23,Construction,Rural,248.5,Independent House,32.01,17.23,2,Approved,25-03-2019
914,28,Other,Divorced,2,Graduate,Self-Employed,14.09,815,122.04,10,8.19,12.53,Construction,Semi-Urban,162.27,Independent House,22.37,44.31,15,Approved,06-06-2019
915,27,Other,Married,2,Doctorate,Unemployed,21.34,745,123.81,10,8.19,29.74,Home Purchase,Semi-Urban,277,Apartment,0.17,14.06,10,Rejected,12-06-2025
916,59,Male,Divorced,2,Doctorate,Salaried,31.5,804,118.73,15,8.89,7.08,Construction,Rural,193.36,Independent House,35.38,32.98,8,Approved,12-12-2021
917,53,Female,Divorced,1,Postgraduate,Salaried,47.6,670,71.92,30,7.55,5.87,Refinance,Urban,206.37,Independent House,36.91,23.08,18,Rejected,17-03-2023
918,63,Male,Divorced,3,High School,Unemployed,20.88,531,63.77,15,10.03,28.07,Construction,Semi-Urban,166.69,Plot,28.55,6.75,1,Approved,11-10-2023
919,34,Female,Married,3,Postgraduate,Unemployed,24.64,456,26.2,10,6.77,7.39,Home Purchase,Urban,142.51,Plot,15.65,22.29,13,Approved,03-10-2024
920,45,Other,Divorced,0,Graduate,Self-Employed,28.49,639,24.75,20,9.46,23.62,Refinance,Rural,238.29,Independent House,11.32,45.4,8,Approved,31-07-2024
921,27,Female,Married,4,Graduate,Self-Employed,14.14,582,98.66,25,7.96,24.73,Refinance,Rural,289.02,Independent House,22.93,13.99,2,Approved,18-03-2022
922,51,Female,Divorced,0,High School,Salaried,31.72,561,70.49,15,6.62,22.4,Construction,Urban,114.05,Apartment,2.67,32.37,3,Rejected,21-02-2019
923,42,Other,Married,0,Postgraduate,Self-Employed,11.23,717,99.27,25,9.09,7.09,Construction,Semi-Urban,188.47,Apartment,12.9,8.28,12,Rejected,29-07-2023
924,21,Male,Widowed,4,Postgraduate,Unemployed,32.35,680,75.07,20,6.8,10.43,Home Purchase,Rural,193.15,Apartment,2.27,31.51,10,Rejected,12-02-2024
925,33,Female,Single,1,Graduate,Unemployed,14.11,586,38.44,20,7.02,12.5,Home Purchase,Semi-Urban,163.54,Independent House,19.61,24.76,7,Approved,20-03-2022
926,58,Female,Divorced,4,Graduate,Self-Employed,45.55,425,71.47,20,10.24,13.12,Refinance,Semi-Urban,125.42,Apartment,11.17,6.5,16,Approved,12-01-2022
927,49,Female,Single,4,High School,Self-Employed,18.76,537,28.7,30,6.67,17.51,Refinance,Rural,188.75,Apartment,36.86,24.24,8,Approved,04-03-2020
928,38,Female,Widowed,1,High School,Salaried,46.83,765,40.82,25,7.61,28.33,Home Purchase,Urban,187.81,Plot,1.34,24.99,3,Rejected,24-01-2018
929,57,Male,Divorced,3,Doctorate,Self-Employed,28.41,328,132.5,10,10.38,13.23,Construction,Urban,40.57,Independent House,7.16,11.07,0,Rejected,13-09-2022
930,40,Male,Single,1,Postgraduate,Unemployed,15.14,632,21.2,15,8.96,10.94,Refinance,Semi-Urban,162.7,Independent House,2.52,12.79,11,Approved,07-05-2023
931,48,Male,Divorced,1,Graduate,Self-Employed,12.16,367,82.98,25,10.63,22.92,Refinance,Semi-Urban,81.35,Apartment,33.38,21.27,0,Approved,22-01-2020
932,42,Female,Widowed,3,Graduate,Self-Employed,26.55,834,138.33,30,10.26,9.44,Home Purchase,Semi-Urban,125.29,Plot,44.62,33.97,12,Approved,30-03-2025
933,27,Female,Single,4,Graduate,Unemployed,5.54,640,144.9,25,10.72,5.19,Construction,Urban,223.64,Apartment,37.56,48.44,2,Approved,27-06-2019
934,22,Female,Single,4,Postgraduate,Self-Employed,5.89,799,129.26,20,8.01,14.79,Home Purchase,Semi-Urban,86.13,Apartment,49.37,40.64,12,Approved,07-06-2021
935,59,Female,Widowed,1,Doctorate,Self-Employed,40.83,673,99.62,20,7.64,26.89,Refinance,Semi-Urban,86.75,Plot,21.44,44.21,15,Approved,05-03-2024
936,56,Other,Married,1,Doctorate,Unemployed,7.26,648,10.14,30,8.12,20.98,Construction,Rural,70.96,Plot,38.22,39.09,5,Approved,29-07-2018
937,21,Male,Single,2,High School,Salaried,10.38,693,57.33,25,8.13,8.19,Refinance,Semi-Urban,106.01,Apartment,27.97,33.29,1,Approved,14-08-2022
938,32,Female,Divorced,3,Postgraduate,Unemployed,6.08,347,131.96,25,8.08,18.82,Refinance,Urban,240.19,Independent House,18.14,10.63,13,Rejected,18-10-2023
939,36,Other,Single,4,High School,Self-Employed,43.81,459,142.91,20,7.97,22.54,Home Purchase,Urban,107.69,Independent House,23.6,43.37,11,Approved,18-12-2021
940,21,Male,Single,1,Postgraduate,Unemployed,9.61,533,38.34,25,9.45,16.67,Home Purchase,Semi-Urban,283,Apartment,12.47,19.25,16,Approved,18-08-2025
941,24,Male,Married,0,High School,Self-Employed,23.19,734,47.13,30,6.76,10.14,Construction,Rural,146.52,Plot,7.43,24.03,2,Approved,14-09-2024
942,41,Other,Married,1,Doctorate,Self-Employed,35.46,587,82.65,15,10.89,18.95,Refinance,Urban,110.33,Plot,21.98,18.6,5,Approved,28-02-2025
943,45,Female,Widowed,3,Postgraduate,Unemployed,2.63,493,38.25,15,10.11,18.47,Home Purchase,Urban,102.14,Independent House,47.12,49.88,5,Rejected,25-04-2025
944,56,Female,Single,0,Doctorate,Self-Employed,24.18,801,45.66,10,9.59,11.7,Refinance,Semi-Urban,211.17,Independent House,27.97,7.06,4,Rejected,02-12-2024
945,24,Female,Divorced,0,High School,Salaried,4.7,690,43.96,25,10.98,6.89,Home Purchase,Semi-Urban,108.15,Independent House,16.91,48.55,5,Approved,09-04-2025
946,28,Female,Divorced,3,Doctorate,Self-Employed,49.07,304,129.7,10,7.96,17.93,Refinance,Urban,285.25,Independent House,12.12,26.22,2,Rejected,22-10-2020
947,42,Other,Widowed,0,Graduate,Unemployed,41.68,500,85.49,15,9.38,26.97,Construction,Semi-Urban,261.44,Apartment,15.14,14.02,7,Rejected,30-12-2021
948,35,Male,Divorced,4,High School,Unemployed,30.71,486,64.71,15,9.8,14.04,Refinance,Rural,228.87,Plot,37.44,19.16,19,Approved,09-02-2021
949,59,Female,Married,2,Graduate,Salaried,5.06,773,124.67,15,9.81,28.19,Home Purchase,Rural,243.26,Independent House,4.14,28.55,10,Approved,09-08-2024
950,50,Other,Widowed,2,High School,Unemployed,24.26,549,95.28,25,9.68,8.39,Refinance,Semi-Urban,228.72,Apartment,45.17,9.38,0,Rejected,17-04-2018
951,29,Female,Divorced,2,Graduate,Self-Employed,20.62,466,54.25,25,10.47,10.57,Refinance,Rural,129.52,Apartment,39.83,43.77,18,Approved,04-04-2018
952,41,Male,Married,2,High School,Self-Employed,2.62,335,120.52,20,10.81,24.33,Refinance,Urban,93.32,Plot,22.34,43.88,8,Approved,04-12-2021
953,21,Male,Single,3,Doctorate,Self-Employed,18.8,803,29.23,20,9.79,23.79,Construction,Semi-Urban,296.09,Plot,18,5.72,9,Approved,24-07-2022
954,42,Male,Divorced,0,Doctorate,Self-Employed,49.18,767,63.99,15,8.07,26.09,Construction,Urban,38.99,Apartment,18.73,5.76,1,Approved,11-05-2021
955,54,Female,Divorced,3,High School,Salaried,17.85,734,64.93,30,6.9,10.05,Home Purchase,Rural,160.06,Apartment,11.89,24.3,11,Approved,03-03-2025
956,62,Female,Widowed,3,Postgraduate,Unemployed,18.57,774,90.51,15,7.89,20.42,Home Purchase,Urban,141.52,Independent House,48.28,17.67,3,Approved,10-06-2022
957,40,Female,Single,3,Doctorate,Unemployed,43.67,376,33.89,10,10.55,13.06,Home Purchase,Semi-Urban,221.2,Plot,18.66,27.76,5,Rejected,02-07-2019
958,52,Male,Divorced,0,High School,Self-Employed,5.74,601,44.07,20,8.92,26.15,Home Purchase,Urban,241.43,Independent House,40.3,16.7,12,Approved,13-04-2018
959,42,Other,Divorced,4,Doctorate,Unemployed,14.23,501,131.72,30,6.92,28.44,Refinance,Rural,140.32,Independent House,19.2,32.44,3,Rejected,27-08-2020
960,37,Female,Widowed,1,Doctorate,Self-Employed,34.35,528,126.48,30,8.21,13.32,Construction,Rural,266.19,Plot,36.47,15.69,6,Approved,16-01-2021
961,26,Female,Divorced,3,Postgraduate,Unemployed,29.76,734,66.53,15,10.67,13.85,Refinance,Rural,111.27,Independent House,18.99,38.2,13,Approved,28-03-2022
962,43,Male,Widowed,1,High School,Unemployed,29.87,725,67.74,20,9.53,9.47,Refinance,Rural,129.11,Plot,35.7,32.54,13,Approved,24-10-2020
963,40,Other,Widowed,2,Graduate,Salaried,12.32,466,85.17,25,9.31,17.26,Construction,Rural,177.67,Plot,29.09,15.84,0,Approved,27-02-2025
964,44,Male,Single,2,Doctorate,Unemployed,21.53,737,68.67,20,10.65,27.1,Home Purchase,Urban,115.41,Independent House,41.78,31.01,11,Rejected,14-06-2019
965,39,Other,Divorced,3,Graduate,Salaried,23.63,548,52.46,25,9.43,17.92,Home Purchase,Semi-Urban,44.75,Apartment,16.22,28.57,6,Approved,24-10-2024
966,62,Male,Divorced,4,Postgraduate,Unemployed,5.58,822,123.26,15,6.5,24.08,Refinance,Rural,151.81,Apartment,45.42,28.58,7,Approved,20-12-2020
967,52,Female,Single,1,Graduate,Salaried,7.07,596,28.92,20,7.71,25.73,Construction,Semi-Urban,90.24,Apartment,18.72,43.19,3,Approved,26-11-2019
968,26,Other,Single,4,Postgraduate,Salaried,49.15,454,68.32,20,6.74,9.51,Construction,Urban,203.17,Independent House,2.89,7.01,5,Approved,08-12-2019
969,55,Female,Divorced,0,High School,Unemployed,49.94,758,73.33,10,8.36,19.45,Construction,Semi-Urban,125.43,Apartment,28.59,36.38,10,Rejected,09-06-2022
970,23,Other,Widowed,0,High School,Salaried,43.43,719,44.38,10,7.53,14.03,Refinance,Rural,287.52,Independent House,41.34,8.42,14,Rejected,25-06-2024
971,48,Male,Married,1,High School,Salaried,30.62,737,142.33,25,7.29,11.33,Home Purchase,Rural,284.08,Plot,19.78,47.35,1,Approved,01-10-2022
972,30,Male,Widowed,2,High School,Unemployed,3.46,606,98.28,20,8.85,20.46,Refinance,Semi-Urban,243.81,Plot,17.43,31.43,16,Rejected,30-10-2023
973,35,Other,Widowed,1,Graduate,Self-Employed,10.21,754,139.92,20,10.93,22.97,Home Purchase,Urban,95.82,Plot,41.95,37.82,13,Approved,28-12-2018
974,48,Other,Widowed,2,Graduate,Self-Employed,34.79,621,131.6,10,7.81,10.16,Home Purchase,Rural,185.73,Independent House,30.43,37.53,11,Approved,15-10-2021
975,49,Other,Widowed,2,Doctorate,Self-Employed,45.98,654,139.38,20,7.68,10.81,Home Purchase,Rural,114.83,Independent House,11.63,33.19,4,Rejected,04-09-2023
976,54,Female,Single,3,Doctorate,Salaried,45.23,408,97.56,10,10.63,17.51,Home Purchase,Semi-Urban,254.92,Independent House,21.46,49.78,12,Rejected,19-02-2025
977,45,Other,Married,1,Doctorate,Salaried,40.14,497,93.74,20,9.85,17.23,Home Purchase,Rural,95.56,Independent House,44.97,28.37,8,Approved,09-06-2021
978,25,Male,Married,0,Doctorate,Self-Employed,27.31,789,115.16,15,8.16,10.13,Construction,Rural,54.66,Independent House,48.94,10.86,18,Rejected,29-06-2018
979,56,Male,Divorced,2,Postgraduate,Salaried,5.53,445,76.68,30,9.26,26.96,Construction,Urban,151.23,Independent House,16.8,11.62,9,Approved,17-11-2020
980,38,Male,Married,1,High School,Unemployed,5.2,615,82.85,25,8.48,28.76,Construction,Semi-Urban,285.16,Apartment,41.6,39.07,11,Approved,10-06-2024
